timestamp_s,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,avg_runq_latency_ns,max_runq_latency_ns,minor_faults,kernel_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,label
1774161156.348,101902,6,pool-9945,43,43,0,0,1743768,2991,14958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,20270,14,DOMCacheThread,2,2,0,0,1894444,2039,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102139,3,stress-ng-cpu,27,1,26,0,13813068289,0,0,9,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4478,9,ibus-extension-,5,5,0,0,157634,4272,11412,0,0,0,0,0,0,0,7,692,952,6,0,48,0,0,1,621,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102182,5,docker,4,4,0,0,471421,43418,124373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,36493,5,Timer,2,2,0,0,25167,2465,2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102199,14,pool-9968,12,11,1,0,398834,8548,21060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,35295,6,IPC I/O Child,304,304,0,0,18756657,9212,65702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102128,8,pool-9960,8,8,0,0,372025,2006,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,36632,1,BgIOThr~ool #30,1,1,0,0,81643,1884,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102257,2,bash,1,1,0,0,1418564,21821,21821,102,1,2,35,16384,0,0,6,2037,3908,4,2,70,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82400,13,ThreadPoolServi,2,2,0,0,57968,284012,563054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4171,8,gnome-shell,146,121,25,0,40905853,11057,31258,532,11,777,1134,535328,0,6,1655,2849,18446744073709542970,328,800,4375,6400,0,367,6874,82,2091,78,42,1,950840,950840,0,0,0,0,0,cpu_bound
1774161156.348,434,1,kworker/1:1H,22,22,0,0,467563,3147,7845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4195,0,JS Helper,6,6,0,0,1393328,7297,11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
