timestamp_ns,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,stall_ns,avg_stall_ns,max_stall_ns,latency_count,avg_runq_ratio,minor_faults,major_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,session_label
14418851055115,36166,8,ptyxis,67,60,7,8,23654541,560201,8361,25117,67,0,10,0,348,489,119896,0,0,296,40681171,5943757193,47,66,356,521,0,5,1006,0,0,178,2,148,823,4057,6,796,0,0,0,idle_baseline
14419086091782,9088,9,threaded-ml,446,440,6,22,34648050,3169109,7235,239458,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14418755065820,8659,10,AudioIP~allback,2621,2605,16,185,125794893,23628509,9077,76663,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14375122690861,146971,13,gly-rayon-6,15,1,14,0,88925,21330,21330,21330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14417265308115,145029,0,async-io,20,20,0,5,255118,197712,9885,124914,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14415931966648,8746,2,TaskCon~ller #1,3,3,0,1,85891,13555,4518,8586,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14377813450325,147025,13,docker,1,0,1,1,228297,6182,6182,6182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14391101476724,4228,11,async-io,3,3,0,2,77956,1444966,481655,1441860,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14389007106303,147188,5,gly-rayon-6,2,2,0,0,102400,4890,2445,2866,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14389969490398,147250,6,docker,4,4,0,1,10957834,7745,2581,3046,3,0,1855,6,57,1703,56520,0,0,62,6094,103083,10,0,7833,0,41,11,5239,0,0,0,1,36,334,1032,42,360,0,0,0,idle_baseline
14408228137004,147444,0,code,1,0,1,0,4979291,35927,35927,35927,1,0,522,5,16,13,8448,0,0,25,4054,11251,0,1,0,1,7,17,2988,0,0,0,0,14,510,1192,6,652,0,0,0,idle_baseline
14380846060988,147072,4,gly-rayon-15,11,0,11,1,86902,29505,29505,29505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14347381261728,146768,8,docker,11,10,1,0,1192471,36730,3339,8946,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14405470314039,4601,0,ibus-engine-sim,25,25,0,8,2166806,157414,6296,12363,25,0,0,0,12,61,6144,0,0,252,2321467,142301964,66,94,514,752,0,4,1305,0,0,88,1,34,972,2605,0,0,0,0,0,idle_baseline
14419131359965,1094,12,auditd,7,7,0,1,850631,57591,8227,18365,7,0,0,0,10,65,992,0,0,6,35655,55654,0,6,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14419080516464,146172,6,kworker/6:2,465,8,457,0,38044445,34448422,75051,1831138,459,0,0,0,6,734,6432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,989,5099,10,1014,0,0,0,idle_baseline
14369703249129,146903,10,docker,10,9,1,1,3253850,12684,1409,2194,9,0,902,1,0,1,0,0,0,31,2839,13204,0,0,0,0,3,28,2294,0,0,0,1,2,696,1102,0,0,0,0,0,idle_baseline
14381858720892,147123,2,docker,3,3,0,1,19306,7935,2645,2795,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14418366802098,147580,11,docker,59,58,1,0,401710,194793,3301,34535,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14389010430156,147235,1,gly-rayon-2,1,0,1,1,247454,1302,1302,1302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14415941039142,1156,6,rtkit-daemon,1,1,0,1,18304,3547,3547,3547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14380845897432,4228,8,async-io,6,6,0,3,179557,36879,6146,11852,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14381344056202,147053,8,blocking-45,2,1,1,1,132939,12634,6317,10851,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14381862589294,147132,1,docker,2,1,1,1,65813,4139,2069,2786,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14352884023829,107244,10,?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14419310424158,105799,12,cpptools,19,19,0,2,1211130,141183,7430,16240,19,0,0,0,0,40,0,0,0,42,286888822,500120111,2,0,0,0,0,40,297948249,0,0,0,20,40,875,1873,0,0,0,0,0,idle_baseline
14418098458470,57353,10,Isolated Web Co,22,22,0,9,2942297,143550,6835,17242,21,0,0,0,18,18,12288,0,0,221,50023579,971839401,48,50,47,50,0,123,89872825,0,0,0,33,98,1016,3026,0,0,0,0,0,idle_baseline
14417268566796,147511,2,zbus::Connectio,1,0,1,1,48802,1513,1513,1513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14381343907544,147052,15,blocking-44,1,0,1,1,158006,13806,13806,13806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14363085050687,146866,12,gnome-shell,1,0,1,0,851784,5831,5831,5831,1,0,209,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,394,841,0,0,0,0,0,idle_baseline
14389008624335,147204,6,gly-rayon-3,1,1,0,1,5210,2124,2124,2124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14371735349447,146916,6,docker,8,8,0,1,5006933,16170,2021,3637,8,0,923,0,7,8,8576,0,0,21,3124,10088,0,0,0,0,3,18,2329,0,0,0,0,4,699,952,2,736,0,0,0,idle_baseline
14375941777148,3824,5,dbus-broker,30,30,0,1,829664,90530,3017,12724,30,0,0,0,17,66,19456,0,0,46,17762983,565655457,0,0,0,0,0,0,0,46,17762983,0,0,63,443,1583,0,0,0,0,0,idle_baseline
14381347591140,147090,6,blocking-1446,3,2,1,1,98414,5120,1706,2084,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14381762014775,8491,1,IPC I/O Parent,143,140,3,3,8211122,736718,5188,92002,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14357267042652,130410,15,kworker/u64:13,189,28,161,5,6580691,1019575,5394,14678,189,0,0,0,28,491,114688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,631,14067,0,0,0,0,0,idle_baseline
14365294439777,146877,14,Indexed~IO #204,5,5,0,2,492079,31802,6360,9919,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14418295052761,8812,15,IPC I/O Child,23,23,0,3,1608182,158017,6870,14597,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
