y,session_label,comm,iso_outlier,lof_outlier,both_flagged,cluster_KMeans (k=4),cluster_GMM (k=4),cluster_Agglomerative (k=4),cluster_DBSCAN,orig_index
0,unknown,code,0,0,False,2,0,1,-1,242
0,unknown,Thread-1 (worke,0,0,False,0,1,2,0,243
0,unknown,Thread-50 (work,0,0,False,0,1,2,0,244
0,unknown,systemd-journal,0,0,False,2,0,1,-1,245
0,unknown,python,0,0,False,0,1,1,-1,246
0,unknown,Thread-85 (work,0,0,False,0,1,2,0,247
0,unknown,StyleThread#1,0,0,False,0,1,2,-1,248
0,unknown,IPC I/O Child,0,0,False,0,1,1,-1,249
0,unknown,Thread-8 (worke,0,0,False,0,1,2,0,250
0,unknown,Thread-3 (worke,0,0,False,0,1,2,0,251
0,unknown,pet,0,0,False,0,1,2,-1,252
0,unknown,systemd-journal,0,0,False,2,0,1,-1,253
0,unknown,bash,0,0,False,2,0,1,-1,254
1,unknown,TaskCon~ller #1,0,0,False,0,1,1,10,255
1,unknown,TaskCon~ller #6,0,0,False,0,1,2,0,256
1,unknown,Thread-187 (_ha,0,0,False,0,1,2,-1,257
0,unknown,Thread-59 (work,0,0,False,0,1,2,0,258
0,unknown,Thread-5 (worke,0,0,False,0,1,2,0,259
0,unknown,Thread-68 (work,0,0,False,0,1,2,0,260
0,unknown,Thread-210 (wor,0,0,False,0,1,2,0,261
0,unknown,cat,0,0,False,2,0,1,-1,262
0,unknown,Isolated Web Co,1,0,False,2,0,1,-1,263
1,unknown,Thread-175 (_ha,0,0,False,0,1,2,-1,264
0,unknown,ThreadPoolForeg,0,0,False,0,1,2,-1,265
0,unknown,cpuUsage.sh,0,0,False,2,0,1,9,266
0,unknown,StreamTrans #70,0,0,False,0,1,2,0,267
1,unknown,StreamT~ns #632,0,0,False,0,1,2,-1,268
0,unknown,Thread-212 (wor,0,0,False,0,1,2,-1,269
0,unknown,V8Worker,0,1,False,0,1,2,0,270
0,unknown,cat,0,0,False,2,0,1,6,271
0,unknown,StreamT~ns #625,0,0,False,0,1,2,14,272
0,unknown,Timer,0,0,False,0,1,2,0,273
0,unknown,pool-spawner,0,0,False,0,1,2,0,274
0,unknown,code,0,0,False,0,1,2,0,275
0,unknown,gmain,0,0,False,0,1,2,0,277
0,unknown,bpftool,0,1,False,2,0,1,-1,278
0,unknown,ps,1,1,True,2,0,1,-1,279
0,unknown,Thread-205 (wor,0,0,False,0,1,2,0,280
0,unknown,StreamTrans #70,0,0,False,0,1,2,-1,281
0,unknown,git,0,1,False,2,0,1,-1,282
0,unknown,gnome-shell,1,1,True,1,3,0,-1,283
0,unknown,gly-rayon-4,0,1,False,0,1,1,10,284
0,unknown,Isolated Servic,0,0,False,2,0,1,-1,285
0,unknown,Thread-44 (_han,0,0,False,0,1,2,0,286
0,unknown,Thread-5 (worke,0,0,False,0,1,2,0,287
0,unknown,Thread-103 (wor,0,0,False,0,1,2,0,288
0,unknown,StreamTrans #29,0,0,False,0,1,2,8,289
0,unknown,Thread-4 (worke,0,0,False,0,1,2,0,290
0,unknown,cat,0,0,False,2,0,1,-1,291
1,unknown,Thread-178 (wor,0,0,False,0,1,2,0,292
0,unknown,Thread-185 (_ha,0,0,False,0,1,2,0,293
0,unknown,code,0,0,False,2,0,1,-1,294
0,unknown,Compositor,1,0,False,0,3,1,-1,295
0,unknown,KMS thread,0,1,False,0,3,1,-1,296
0,unknown,IPC I/O Child,0,0,False,0,1,2,0,297
0,unknown,Priority Queue ,0,0,False,0,1,2,-1,298
0,unknown,WorkerThread,0,0,False,0,1,2,0,299
0,unknown,TaskCon~ller #5,0,0,False,0,1,2,0,300
0,unknown,glean.dispatche,0,0,False,0,3,1,-1,301
0,unknown,libuv-worker,0,0,False,0,1,2,0,302
0,unknown,sh,0,0,False,0,1,1,-1,303
0,unknown,Thread-79 (work,0,0,False,0,1,2,0,304
1,unknown,StreamT~ns #624,0,0,False,0,1,2,0,305
0,unknown,Thread-33 (_han,0,0,False,0,1,2,0,306
0,unknown,bash,0,1,False,2,0,1,-1,307
0,unknown,Thread-188 (wor,0,0,False,0,1,2,-1,308
0,unknown,wireplumber,0,0,False,2,0,1,-1,309
0,unknown,sqldb:c~lite #3,0,0,False,0,1,2,0,310
0,unknown,gmain,0,0,False,0,1,2,0,311
2,unknown,IPC Launch,0,1,False,0,1,2,8,312
0,unknown,StreamTrans #47,0,0,False,0,1,2,-1,313
0,unknown,cat,0,0,False,2,0,1,4,314
1,unknown,Thread-118 (wor,0,0,False,0,1,2,0,315
0,unknown,TaskCon~ller #1,0,0,False,0,1,2,0,316
0,unknown,Thread-76 (_han,0,0,False,0,1,2,0,317
0,unknown,python,0,0,False,2,0,1,-1,318
0,unknown,libuv-worker,0,0,False,0,1,2,0,319
0,unknown,gvfsd-metadata,0,0,False,0,0,1,-1,320
0,unknown,Thread-82 (work,0,0,False,0,1,2,0,321
0,unknown,ProfilerChild,0,0,False,0,1,2,-1,322
0,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,323
0,unknown,dircolors,0,1,False,2,0,1,-1,324
0,unknown,Thread-189 (wor,0,0,False,0,1,2,-1,325
0,unknown,firefo:traceq0,0,0,False,0,1,2,-1,326
0,unknown,sleep,0,0,False,0,1,1,-1,327
0,unknown,sleep,0,0,False,0,1,1,-1,328
0,unknown,Thread-61 (work,0,0,False,0,1,2,0,329
0,unknown,Thread-100 (wor,0,0,False,0,1,2,0,330
0,unknown,Thread-2 (worke,0,0,False,0,1,2,0,331
0,unknown,ProcessHangMon,0,0,False,0,1,2,0,332
0,unknown,Thread-87 (_han,0,0,False,0,1,2,0,333
0,unknown,Isolated Web Co,1,0,False,2,0,1,-1,334
0,unknown,WRRende~ckend#1,0,0,False,0,1,1,-1,335
0,unknown,JS Watchdog,0,0,False,0,1,2,0,336
0,unknown,cpuUsage.sh,0,0,False,2,0,1,9,337
0,unknown,Thread-15 (work,0,0,False,0,1,2,0,338
0,unknown,bash,0,1,False,2,0,1,-1,339
0,unknown,Thread-80 (work,0,0,False,0,1,2,0,340
0,unknown,gly-rayon-2,0,0,False,0,1,2,0,341
0,unknown,pet,0,0,False,0,1,1,10,342
0,unknown,StyleThread#5,0,0,False,0,1,2,0,343
0,unknown,IPC I/O Child,0,0,False,0,1,2,0,344
0,unknown,Thread-10 (_han,0,1,False,0,1,2,0,345
0,unknown,Thread-89 (work,0,0,False,0,1,2,0,346
0,unknown,Timer,0,0,False,0,1,2,0,347
0,unknown,StreamT~ns #212,0,0,False,0,1,2,-1,348
0,unknown,pet,0,0,False,0,1,1,10,349
0,unknown,Thread-6 (worke,0,0,False,0,1,2,0,350
0,unknown,Thread-7 (worke,0,0,False,0,1,2,0,351
0,unknown,bpftool,0,1,False,2,0,1,-1,352
0,unknown,bpftool,0,1,False,2,0,1,-1,353
1,unknown,gsd-media-keys,1,0,False,2,0,1,-1,354
0,unknown,MediaDe~ine #72,0,0,False,0,1,2,-1,355
0,unknown,glycin-svg,0,1,False,2,0,1,-1,356
0,unknown,Thread-202 (wor,0,0,False,0,1,2,0,357
0,unknown,gmain,0,0,False,0,1,2,0,358
0,unknown,sh,0,0,False,2,0,1,-1,359
1,unknown,Thread-167 (wor,0,0,False,0,1,2,-1,360
0,unknown,Thread-107 (wor,0,0,False,0,1,2,0,361
1,unknown,Thread-154 (_ha,0,0,False,0,1,2,-1,362
1,unknown,DOMCacheThread,0,0,False,0,1,2,0,363
0,unknown,StreamTrans #47,0,0,False,0,1,2,-1,364
0,unknown,code,0,1,False,2,0,1,-1,365
0,unknown,DNS Res~er #516,0,0,False,0,1,2,0,366
0,unknown,IPC I/O Child,0,0,False,0,1,2,-1,367
0,unknown,cat,0,0,False,2,0,1,4,369
1,unknown,WRWorkerLP#7,0,0,False,0,1,1,-1,370
0,unknown,Backgro~ool #20,0,0,False,0,1,2,0,371
0,unknown,Thread-75 (_han,0,0,False,0,1,2,0,372
1,unknown,gdbus,0,0,False,0,1,2,0,373
0,unknown,bwrap,0,1,False,2,0,1,-1,374
0,unknown,Thread-100 (wor,0,1,False,0,1,2,0,375
0,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,376
0,unknown,Thread-20 (_han,0,0,False,0,1,2,-1,377
0,unknown,Thread-40 (work,0,0,False,0,1,2,0,378
0,unknown,DOM Worker,0,0,False,0,1,2,0,379
0,unknown,thermald,0,0,False,0,1,2,-1,380
0,unknown,Thread-49 (work,0,0,False,0,1,2,0,381
0,unknown,Thread-98 (_han,0,1,False,0,1,2,-1,382
0,unknown,Thread-104 (wor,0,0,False,0,1,2,0,383
0,unknown,Thread-100 (wor,0,0,False,0,1,2,0,384
0,unknown,Thread-1 (worke,0,0,False,0,1,2,0,385
0,unknown,ps,1,0,False,2,0,1,-1,386
0,unknown,Thread-77 (_han,0,0,False,0,1,2,0,387
0,unknown,TaskCon~ller #3,0,0,False,0,1,2,0,388
0,unknown,Thread-51 (work,0,0,False,0,1,2,0,389
0,unknown,JS Watchdog,0,0,False,0,1,2,0,390
0,unknown,IPDL Background,0,0,False,0,1,2,-1,391
0,unknown,Timer,0,0,False,0,1,2,-1,392
0,unknown,pet,0,1,False,0,1,2,-1,393
0,unknown,libuv-worker,0,0,False,0,1,2,0,394
0,unknown,Isolated Web Co,1,0,False,2,3,1,-1,395
0,unknown,ThreadPoolServi,0,0,False,0,1,2,0,396
0,unknown,IPC I/O Child,0,0,False,0,1,2,0,397
0,unknown,Web Content,0,1,False,2,0,1,-1,398
0,unknown,gmain,0,0,False,0,1,2,0,399
2,unknown,ThreadPoolForeg,1,1,True,0,1,2,-1,400
0,unknown,V8Worker,0,0,False,0,1,2,-1,401
0,unknown,sed,0,1,False,2,0,1,-1,402
0,unknown,IPDL Background,0,0,False,0,1,2,-1,403
0,unknown,sleep,0,0,False,2,0,1,-1,404
0,unknown,pet,0,0,False,0,1,2,11,406
